,concept:name,time:timestamp,case:concept:name
0,confimorder,1970-04-27 01:46:40,0
1,printorder,1970-04-27 01:46:41,0
2,attach ordernote topinboard,1970-04-27 01:46:42,0
3,confimorder,1970-04-27 01:46:43,1
4,printorder,1970-04-27 01:46:44,1
5,attach ordernote topinboard,1970-04-27 01:46:45,1
6,confimorder,1970-04-27 01:46:46,2
7,printorder,1970-04-27 01:46:47,2
8,attach ordernote topinboard,1970-04-27 01:46:48,2
9,confimorder,1970-04-27 01:46:49,3
10,printorder,1970-04-27 01:46:50,3
11,attach ordernote topinboard,1970-04-27 01:46:51,3
12,printorder,1970-04-27 01:46:52,4
13,attach ordernote topinboard,1970-04-27 01:46:53,4
14,writedownorder,1970-04-27 01:46:54,5
15,attach ordernote topinboard,1970-04-27 01:46:55,5
16,confimorder,1970-04-27 01:46:56,6
17,printorder,1970-04-27 01:46:57,6
18,attach ordernote topinboard,1970-04-27 01:46:58,6
19,writedownorder,1970-04-27 01:46:59,7
20,attach ordernote topinboard,1970-04-27 01:47:00,7
21,confimorder,1970-04-27 01:47:01,8
22,printorder,1970-04-27 01:47:02,8
23,attach ordernote topinboard,1970-04-27 01:47:03,8
24,writedownorder,1970-04-27 01:47:04,9
25,attach ordernote topinboard,1970-04-27 01:47:05,9
26,confimorder,1970-04-27 01:47:06,10
27,printorder,1970-04-27 01:47:07,10
28,attach ordernote topinboard,1970-04-27 01:47:08,10
29,writedownorder,1970-04-27 01:47:09,11
30,attach ordernote topinboard,1970-04-27 01:47:10,11
31,writedownorder,1970-04-27 01:47:11,12
32,attach ordernote topinboard,1970-04-27 01:47:12,12
33,writedownorder,1970-04-27 01:47:13,13
34,attach ordernote topinboard,1970-04-27 01:47:14,13
35,writedownorder,1970-04-27 01:47:15,14
36,attach ordernote topinboard,1970-04-27 01:47:16,14
37,printorder,1970-04-27 01:47:17,15
38,attach ordernote topinboard,1970-04-27 01:47:18,15
39,writedownorder,1970-04-27 01:47:19,16
40,attach ordernote topinboard,1970-04-27 01:47:20,16
41,printorder,1970-04-27 01:47:21,17
42,attach ordernote topinboard,1970-04-27 01:47:22,17
43,writedownorder,1970-04-27 01:47:23,18
44,attach ordernote topinboard,1970-04-27 01:47:24,18
