,us,cns,conf
0,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)",2 ,0.3333333333333333
1,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 ,0.5
2,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 4 ,0.5
3,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(1,3,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 5 ,0.1659919028340081
4,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)(1,4,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 8 ,0.23076923076923078
5,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)(1,4,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 8 6 ,0.23076923076923078
6,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)(1,4,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 8 6 7 ,0.23076923076923078
7,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)(1,4,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 8 7 ,0.23076923076923078
8,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(1,3,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 5 6 ,0.13765182186234817
9,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendabankcardinaletter)(1,4,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 5 8 ,0.2426470588235294
10,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendabankcardinaletter)(1,4,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 5 8 7 ,0.2426470588235294
11,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(1,3,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 5 6 7 ,0.13765182186234817
12,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendapinnumberinaletter)(1,4,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 5 6 8 ,0.2426470588235294
13,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendapinnumberinaletter)(1,4,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 5 6 13 ,0.007352941176470588
14,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendapinnumberinaletter)(3,4,1,sendapinnumberinaletter,1,endprocess)(1,5,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 5 6 8 ,0.25
15,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendabankcardinaletter)(1,4,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 5 13 ,0.007352941176470588
16,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendabankcardinaletter)(3,4,1,sendabankcardinaletter,1,endprocess)(1,5,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 5 8 ,0.25
